code,tipo,marca,modelo,variante,motor,originalpw,modifiedpw,gainpw,maxgainpw,maxgainrpm,originaltorque,modtorque,obd,stg1,acc,ron,vmx,cat,egr,dpf,imm,swr,ms,cat,pricestg1,pricestg2,dtcdecategronly,pricecombo,dpfonly,dpfcombo,dealerpricestg1,dealerpricestg2,dealerdtcdecategronly,dealerpricecombo,dealerdpfonly,dealerdfpcombo,kess,ktag,web
201,AUTO / UTIL,ABARTH,500,,1.4T,135,167,32,36,3800,206,276,1,1,1,1,1,1,0,0,0,0,0,TN1,19900,24900,11900,5950,0,0,5970,7470,3570,1785,0,0,121,24,https://dataracing.com.ar/cars/abaeth-500-1-4t-135-hp/
202,AUTO / UTIL,ABARTH,500 595 EURO 6,,1.4T,165,198,33,59,4100,234,320,0,1,1,1,1,1,0,0,0,0,0,TN2,24900,28900,13900,6950,0,0,7470,8670,4170,2085,0,0,x,1275 642,https://dataracing.com.ar/cars/abarth-595-1-4t-165-hp/
201,AUTO / UTIL,ALFA ROMEO,Giulietta,,1.4T,135,167,32,36,3800,206,276,1,1,1,1,1,1,0,0,0,0,0,TN1,19900,24900,11900,5950,0,0,5970,7470,3570,1785,0,0,121,24,https://dataracing.com.ar/cars/abaeth-500-1-4t-135-hp/
301,AUTO / UTIL,ALFA ROMEO,Giulietta,,1750Bti,235,275,40,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,TN2,24900,28900,13900,6950,0,0,7470,8670,4170,2085,0,0,229,1315 150,
302,AUTO / UTIL,ALFA ROMEO,145,,18L,144,156,12,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,A3,18900,21900,12900,6450,0,0,5670,6570,3870,1935,0,0,4,x,
303,AUTO / UTIL,ALFA ROMEO,145,,20L,150,163,13,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,A3,18900,21900,12900,6450,0,0,5670,6570,3870,1935,0,0,5,x,
302,AUTO / UTIL,ALFA ROMEO,146,,18L,144,156,12,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,A3,18900,21900,12900,6450,0,0,5670,6570,3870,1935,0,0,4,x,
303,AUTO / UTIL,ALFA ROMEO,146,,20L,150,163,13,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,A3,18900,21900,12900,6450,0,0,5670,6570,3870,1935,0,0,5,x,
302,AUTO / UTIL,ALFA ROMEO,147,,18L,144,156,12,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,A3,18900,21900,12900,6450,0,0,5670,6570,3870,1935,0,0,4,x,
303,AUTO / UTIL,ALFA ROMEO,147,,20L,150,163,13,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,A3,18900,21900,12900,6450,0,0,5670,6570,3870,1935,0,0,5,x,
302,AUTO / UTIL,ALFA ROMEO,156,,18L,144,156,12,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,A3,18900,21900,12900,6450,0,0,5670,6570,3870,1935,0,0,4,x,
303,AUTO / UTIL,ALFA ROMEO,156,,20L,150,163,13,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,A3,18900,21900,12900,6450,0,0,5670,6570,3870,1935,0,0,5,x,
304,AUTO / UTIL,ALFA ROMEO,147 156,,1.9JTD,140,165,25,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,TD1,16900,16900,10900,2725,15900,7950,5070,5070,3270,817.5,4770,2385,54,1,
305,AUTO / UTIL,ALFA ROMEO,MITO,,1.4T,155,180,25,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,TN1,19900,24900,11900,5950,0,0,5970,7470,3570,1785,0,0,121,24,
201,AUTO / UTIL,ALFA ROMEO,MITO,,1.4T,135,167,32,36,3800,206,276,1,1,1,1,1,1,0,0,0,0,0,TN1,19900,24900,11900,5950,0,0,5970,7470,3570,1785,0,0,121,24,https://dataracing.com.ar/cars/abaeth-500-1-4t-135-hp/
109,AUTO / UTIL,AUDI,A1,,1.4TFSI,125,150,25,32,3300,209,280,1,1,1,1,1,1,0,0,0,0,0,TN1,19900,24900,11900,5950,0,0,5970,7470,3570,1785,0,0,203,128,https://dataracing.com.ar/cars/audi-a3-8v-1-4t-ea-211-hp/
126,AUTO / UTIL,AUDI,A1,,1.4T EA211,125,162,37,38,4900,202,262,1,1,1,1,1,1,0,0,0,0,0,TN1,19900,24900,11900,5950,0,0,5970,7470,3570,1785,0,0,465,1321 179,https://dataracing.com.ar/cars/audi-a1-1-4t-ea211-122-hp/
128,AUTO / UTIL,AUDI,A1,,1.2TSI,90,120,30,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,TN1,19900,24900,11900,5950,0,0,5970,7470,3570,1785,0,0,384,x,
118,AUTO / UTIL,AUDI,A3 8L,,1.6,101,111,10,10,5200,142,156,0,1,1,1,1,1,0,0,1,0,0,A1,13900,15900,8900,4450,0,0,4170,4770,2670,1335,0,0,x,186,https://dataracing.com.ar/cars/vw-gol-trend-1-6-101-hp/
101,AUTO / UTIL,AUDI,A3 8L,,1.8T,150,188,40,57,3900,210,305,1,1,1,1,1,1,0,0,1,0,0,TN1,19900,24900,11900,5950,0,0,5970,7470,3570,1785,0,0,x,x,https://dataracing.com.ar/cars/vw-golf-4-1-8t-150-hp/
